,State,fips,cases,deaths,1 week increase in cases,2 change increase in cases/ 1 week increase,4 change increase in cases/ 1 week increase,pop,density
58,Colorado,08,385153,5548,20047,0.447498378809797,0.3569611413179029,5893630,56.8653
59,Connecticut,09,237815,6819,21557,0.3694855499373753,0.2673841443614603,3552820,733.7505
60,Delaware,10,73233,1027,6313,0.43038175194044037,0.3038175194044036,990334,508.1242
61,District of Columbia,11,34905,867,2729,0.37962623671674606,0.2898497618175156,714153,11707.4262
62,Florida,12,1627595,25010,136270,0.37094738387025755,0.3082483305202906,21944600,409.2233
63,Georgia,13,829023,12653,80147,0.320710694099592,0.26014697992438895,10830000,188.3053
64,Hawaii,15,24823,329,1398,0.32260371959942774,0.20743919885550788,1406430,218.9678
65,Idaho,16,159000,1669,6058,0.37834268735556287,0.28623308022449656,1860120,22.5079
66,Illinois,17,1095917,20535,48044,0.358941803346932,0.2641536924485888,12569300,226.3964
67,Indiana,18,608498,9642,29816,0.3788569895358197,0.22883686611215454,6805660,189.9643
68,Iowa,19,311695,4478,12102,0.39398446537762355,0.2629317468187077,3167970,56.7157
69,Kansas,20,269611,3598,14943,0.3115840192732383,0.3117847821722546,2917220,35.6807
70,Kentucky,21,344565,3626,33711,0.36658657411527396,0.23823084453145857,4480710,113.4759
71,Louisiana,22,380255,8483,29606,0.29466999932446125,0.12504222117138417,4627000,107.0966
72,Maine,23,36274,540,4525,0.32265193370165746,0.2132596685082873,1354520,43.9166
73,Maryland,24,337129,6792,23633,0.35518131426395294,0.25388228324800066,6065440,624.8522
74,Massachusetts,25,491452,13987,45756,0.36288137074919136,0.26186729609231574,6912240,886.1846
75,Michigan,26,593726,14940,25403,0.33216549226469316,0.306341770657009,9992430,176.7352
76,Minnesota,27,452336,6100,13956,0.4031957580968759,0.3895098882201204,5706400,71.6641
77,Mississippi,28,261167,5713,18575,0.31795423956931357,0.22847913862718708,2966410,63.2187
78,Missouri,29,478517,6932,22537,0.29067755246927274,0.20708168789102366,6169040,89.7419
79,Montana,30,91145,1106,4394,0.3686845698680018,0.297223486572599,1085000,7.4547
80,Nebraska,31,187496,1960,6593,0.38328530259365995,0.3538601547095404,1952000,25.4087
81,Nevada,32,268357,3967,14356,0.30586514349400945,0.23042630259125105,3185790,29.0195
82,New Hampshire,33,60951,971,6644,0.37281757977122215,0.4056291390728477,1372200,153.2671
83,New Jersey,34,650388,20875,62936,0.42484428625905685,0.3405681962628702,8874520,1206.7609
84,New Mexico,35,167731,3079,9062,0.3234385345398367,0.2566762304127124,2105000,17.354
85,New York,36,1309660,41530,149406,0.4282023479646065,0.3641888545306079,19300000,409.5404
86,North Carolina,37,708931,8511,82526,0.3366817730169886,0.26766110074400795,10701000,220.1037
87,North Dakota,38,96592,1428,1528,0.24607329842931938,0.44960732984293195,770026,11.1596
88,Ohio,39,853982,10599,60548,0.33381779744995704,0.24696108872299663,11714600,286.6939
89,Oklahoma,40,365992,3187,33735,0.3287683414851045,0.1934785830739588,3990440,58.1739
90,Oregon,41,136839,1874,9298,0.3698644869864487,0.2811357281135728,4289440,44.6873
91,Pennsylvania,42,799948,20322,67554,0.38276045830002664,0.3029576338928857,12804100,286.1699
92,Rhode Island,44,109735,2083,8156,0.3592447278077489,0.2849435998038254,3194370,923.4952
93,South Carolina,45,409188,6404,50786,0.3974126727838381,0.35009648328279447,1061510,1026.6054
94,South Dakota,46,106716,1684,2228,0.5044883303411131,0.4263913824057451,5277830,175.5707
95,Tennessee,47,688782,8695,35967,0.42391636778157754,0.2645758612061056,896581,11.8265
96,Texas,48,2228301,34496,250443,0.30964331205104556,0.12776959228247545,6944260,168.4069
97,Utah,49,333118,1571,19371,0.36921170822363325,0.2928604615146353,29730300,113.808
98,Vermont,50,10759,169,1853,0.43335132218024824,0.4511602806260119,3310770,40.2917
99,Virginia,51,463751,6002,57716,0.3940328505093908,0.272385473698801,623251,67.6197
100,Washington,53,302546,4178,20788,0.3412064652684241,0.27693861843371176,8603980,217.8774
101,West Virginia,54,113615,1856,10026,0.32375822860562536,0.21623778176740474,7796940,117.3248
102,Wisconsin,55,577991,6140,20911,0.3291569030653723,0.24814690832576156,1767860,73.5444
103,Wyoming,56,50583,571,1993,0.2558956347215253,0.2995484194681385,5852490,108.0633
104,Puerto Rico,72,122897,1761,5782,0.3216879972327914,0.2940159114493255,581075,5.9847
105,Alabama,01,436087,6486,33232,0.2812951372171401,0.19694872412132883,4934190,97.427
106,Alaska,02,52572,245,2308,0.48873483535528595,0.4207105719237435,724357,1.2694
107,Arizona,04,710273,12014,66765,0.25741031977832696,0.16195611473077212,7520100,66.2016
108,Arkansas,05,281382,4549,23341,0.2949745083758194,0.1330277194636048,3033950,58.3059
109,California,06,3141303,36326,254379,0.2933418246003011,0.2002052056183883,39613500,254.2929
110,Colorado,08,385153,5548,20047,0.447498378809797,0.3569611413179029,5893630,56.8653
111,Connecticut,09,237815,6819,21557,0.3694855499373753,0.2673841443614603,3552820,733.7505
112,Delaware,10,73233,1027,6313,0.43038175194044037,0.3038175194044036,990334,508.1242
113,District of Columbia,11,34905,867,2729,0.37962623671674606,0.2898497618175156,714153,11707.4262
114,Florida,12,1627595,25010,136270,0.37094738387025755,0.3082483305202906,21944600,409.2233
115,Georgia,13,829023,12653,80147,0.320710694099592,0.26014697992438895,10830000,188.3053
116,Hawaii,15,24823,329,1398,0.32260371959942774,0.20743919885550788,1406430,218.9678
117,Idaho,16,159000,1669,6058,0.37834268735556287,0.28623308022449656,1860120,22.5079
118,Illinois,17,1095917,20535,48044,0.358941803346932,0.2641536924485888,12569300,226.3964
119,Indiana,18,608498,9642,29816,0.3788569895358197,0.22883686611215454,6805660,189.9643
120,Iowa,19,311695,4478,12102,0.39398446537762355,0.2629317468187077,3167970,56.7157
121,Kansas,20,269611,3598,14943,0.3115840192732383,0.3117847821722546,2917220,35.6807
122,Kentucky,21,344565,3626,33711,0.36658657411527396,0.23823084453145857,4480710,113.4759
123,Louisiana,22,380255,8483,29606,0.29466999932446125,0.12504222117138417,4627000,107.0966
124,Maine,23,36274,540,4525,0.32265193370165746,0.2132596685082873,1354520,43.9166
