,State,fips,cases,deaths,1 week increase in cases,2 change increase in cases/ 1 week increase,4 change increase in cases/ 1 week increase,latest Date Used,Average Case number per day,pop,density
18,Kentucky,21,431785,6192,10636,0.3902783,0.388773975,4/2/2021,421.4285714,4480710,113.4759
19,Louisiana,22,445469,10161,6692,0.49790795,0.358637179,4/2/2021,223.4285714,4627000,107.0966
20,Maine,23,51189,744,2618,0.524446142,0.666921314,4/2/2021,165.5714286,1354520,43.9166
21,Maryland,24,414570,8319,12223,0.609097603,0.739752925,4/2/2021,758.5714286,6065440,624.8522
22,Massachusetts,25,640779,17249,22272,0.651266164,0.709096624,4/2/2021,1392.571429,6912240,886.1846
23,Michigan,26,759190,17185,33248,0.919724495,1.233397498,4/2/2021,3795.571429,9992430,176.7352
24,Minnesota,27,524281,6942,14723,0.625823541,0.8222509,4/2/2021,1085,5706400,71.6641
25,Mississippi,28,305701,7051,5571,0.33997487,0.267635972,4/2/2021,143.7142857,2966410,63.2187
26,Missouri,29,586634,8985,58062,0.085167579,0.068444077,4/2/2021,385.8571429,6169040,89.7419
27,Montana,30,104992,1454,2102,0.574215033,0.421027593,4/2/2021,99.85714286,1085000,7.4547
28,Nebraska,31,211422,2284,3599,0.484301195,0.891636566,4/2/2021,322.4285714,1952000,25.4087
29,Nevada,32,304478,5260,5138,0.378746594,0.354807318,4/2/2021,167.5714286,3185790,29.0195
30,New Hampshire,33,85010,1245,3574,0.66536094,0.737548965,4/2/2021,238.5714286,1372200,153.2671
31,New Jersey,34,918949,24615,51372,0.578914584,0.612590516,4/2/2021,2668.285714,8874520,1206.7609
32,New Mexico,35,192152,3951,2914,0.460535347,0.492793411,4/2/2021,131.7142857,2105000,17.354
33,New York,36,1888823,49946,93500,0.630812834,0.611957219,4/2/2021,4380.142857,19300000,409.5404
34,North Carolina,37,921917,12161,23730,0.528866414,0.457522124,4/2/2021,811.2857143,10701000,220.1037
35,North Dakota,38,103492,1498,1237,0.702506063,0.871463217,4/2/2021,117.2857143,770026,11.1596
36,Ohio,39,1021718,18643,21106,0.548517009,0.606699517,4/2/2021,1228.428571,11714600,286.6939
